eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_loss,validation_loss
1e-05,0.1,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.3346384787698661,0.5022575098925286
1e-05,0.1,300,64,[50],"['relu', 'linear']",SGD,0.29512217518239847,0.5091609574603568
1e-05,0.1,300,64,[50],"['relu', 'linear']",adam,127.88499061225643,147.05951273749776
1e-05,0.1,300,64,[50],"['relu', 'linear']",adagrad,151.01756995546546,153.99821187490437
1e-05,0.1,300,64,[50],"['relu', 'linear']",RMSprop,4.529594457767276,5.163217304604749
1e-05,0.001,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.14959450169718505,0.23690269045955964
1e-05,0.001,300,64,[10],"['relu', 'linear']",SGD,0.20251299435381576,0.24923280481882443
1e-05,0.001,300,64,[10],"['relu', 'linear']",adam,0.826433523410056,0.9268999403525239
1e-05,0.001,300,64,[10],"['relu', 'linear']",adagrad,4.361723334811745,5.421246714613805
1e-05,0.001,300,64,[10],"['relu', 'linear']",RMSprop,1.0291452536181982,2.2230461791396214
1e-05,0.001,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.2080117567036371,0.2881714059783339
1e-05,0.001,300,64,[30],"['relu', 'linear']",SGD,0.1642288432866728,0.13584959266089885
1e-05,0.001,300,64,[30],"['relu', 'linear']",adam,25.210468055476728,27.978761654464392
1e-05,0.001,300,64,[30],"['relu', 'linear']",adagrad,2.7096979202535985,3.3488120987597716
1e-05,0.001,300,64,[30],"['relu', 'linear']",RMSprop,107.29881065444656,111.42000901052457
1e-05,0.001,300,64,[50],"['relu', 'linear']",SGDwithoutMomentum,0.2935692533775789,0.595964188044272
1e-05,0.001,300,64,[50],"['relu', 'linear']",SGD,0.3970882059278532,0.7836351383208318
1e-05,0.001,300,64,[50],"['relu', 'linear']",adam,17.62696201131334,19.30545257547245
1e-05,0.001,300,64,[50],"['relu', 'linear']",adagrad,24.619897432679902,21.559548639945948
1e-05,0.001,300,64,[50],"['relu', 'linear']",RMSprop,68.38766286324767,68.10672103374962
1e-05,1e-05,300,64,[10],"['relu', 'linear']",SGDwithoutMomentum,0.16314704265973412,0.14441434751262988
1e-05,1e-05,300,64,[10],"['relu', 'linear']",SGD,0.7117923582059595,0.88878627850499
1e-05,1e-05,300,64,[10],"['relu', 'linear']",adam,9.728643734717107,10.629956244431757
1e-05,1e-05,300,64,[10],"['relu', 'linear']",adagrad,1.2581034358915666,1.275641839217177
1e-05,1e-05,300,64,[10],"['relu', 'linear']",RMSprop,1.7747741493595117,1.7729749843456737
1e-05,1e-05,300,64,[30],"['relu', 'linear']",SGDwithoutMomentum,0.2594062657391114,0.3441286506989104
1e-05,1e-05,300,64,[30],"['relu', 'linear']",SGD,0.4409659943965888,0.3848702129382871
1e-05,1e-05,300,64,[30],"['relu', 'linear']",adam,19.210825697073325,19.426346784357474
1e-05,1e-05,300,64,[30],"['relu', 'linear']",adagrad,49.97282073986021,52.50000081849254
1e-05,1e-05,300,64,[30],"['relu', 'linear']",RMSprop,29.93385372130711,32.51631580270582
