eta,lmbd,epochs,batch_size,n_hidden_layers,activation_func,optimiser,training_accuracy,validation_accuracy
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",adam,0.009523809523809525,0.0
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.5333333333333333,0.5111111111111111
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",adam,0.0,0.022222222222222223
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,0.1,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.38095238095238093,0.4222222222222222
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.0,0.0
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,0.001,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",adagrad,0.009523809523809525,0.044444444444444446
1e-05,1e-05,300,32,[10],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.0,0.0
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",adam,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[30],"['relu', 'sigmoid']",RMSprop,0.2571428571428571,0.26666666666666666
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",SGD,0.3047619047619048,0.3111111111111111
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",adam,0.6095238095238096,0.6
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",adagrad,0.3333333333333333,0.3333333333333333
1e-05,1e-05,300,32,[50],"['relu', 'sigmoid']",RMSprop,0.3333333333333333,0.3333333333333333
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",SGD,0.9809523809523809,0.9333333333333333
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",adam,0.9904761904761905,0.9777777777777777
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",adagrad,0.9714285714285714,0.9555555555555556
0.1,0.1,300,64,[10],"['relu', 'sigmoid']",RMSprop,0.9714285714285714,0.9333333333333333
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",SGDwithoutMomentum,0.3333333333333333,0.3333333333333333
0.1,0.1,300,64,[30],"['relu', 'sigmoid']",SGD,0.3333333333333333,0.3333333333333333
